Molecule 1                    ,Molecule 2                    ,Cosine Similarity             ,Molecule 2 unique?            
Fluoxetine_16.gjf             ,Fluoxetine_40.gjf             ,97.74409                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_41.gjf             ,97.9902                       ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_42.gjf             ,97.99391                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_43.gjf             ,98.41754                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_44.gjf             ,98.41507                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_45.gjf             ,98.39365                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_46.gjf             ,96.94891                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_47.gjf             ,98.44162                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_48.gjf             ,98.44762                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_49.gjf             ,98.41551                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_55.gjf             ,98.91701                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_18.gjf             ,97.55535                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_22.gjf             ,97.47765                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_24.gjf             ,98.13081                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_25.gjf             ,98.15112                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_26.gjf             ,98.12573                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_30.gjf             ,97.98847                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_31.gjf             ,98.00798                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_35.gjf             ,98.49313                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_36.gjf             ,98.47726                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_37.gjf             ,98.41855                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_38.gjf             ,98.49055                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_40.gjf             ,98.44991                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_41.gjf             ,98.25085                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_42.gjf             ,98.33466                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_43.gjf             ,97.53744                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_44.gjf             ,97.53506                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_45.gjf             ,97.44346                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_46.gjf             ,97.8936                       ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_47.gjf             ,97.46809                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_48.gjf             ,97.42586                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_49.gjf             ,97.45918                      ,Yes                           
Fluoxetine_17.gjf             ,Fluoxetine_55.gjf             ,97.72205                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_22.gjf             ,99.70069                      ,No                            
Fluoxetine_18.gjf             ,Fluoxetine_24.gjf             ,97.75904                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_25.gjf             ,97.86655                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_26.gjf             ,97.81484                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_30.gjf             ,97.7861                       ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_31.gjf             ,97.89891                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_35.gjf             ,97.63605                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_36.gjf             ,97.66343                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_37.gjf             ,97.63231                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_38.gjf             ,97.61411                      ,Yes                           
